FLWheelSpdPulse,Fx_FL,Fx_FR,Fx_RL,Fx_RR,Fx_by_acc,Fx_by_tyre,GasPdlPsnRaw,LongAcc,MCU_MotorSpeed,MCU_Torque,RLWheelSpdPulse,RRWheelSpdPulse,VCU2MCU_MotorTorque_cmd,VehSpd,WhlSpdFL,WhlSpdFL_ang_acc,WhlSpdFR,WhlSpdFR_ang_acc,WhlSpdRL,WhlSpdRL_ang_acc,WhlSpdRR,WhlSpdRR_ang_acc,time
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,-1.0,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.7508986481402524,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.14174449911800202,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
1781.0,-95.57767292439526,-95.57767292439526,-268.9037946882498,-268.9037946882498,-225.4000000000002,-728.9629352252902,0.0,-0.010000000000000009,1.7547801390657132,1.8773900695328565,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
1781.0,-95.35156517940385,-95.35156517940385,-279.8520422010661,-279.8520422010661,-225.4000000000002,-750.40721476094,0.0,-0.010000000000000009,-0.5723251926827007,1.1425582691057665,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
1781.0,-95.57127395300986,-95.57127395300986,-269.2136360099501,-269.2136360099501,-225.4000000000002,-729.5698199259199,0.0,-0.010000000000000009,0.7131878648674519,1.856593932433726,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
1781.0,-95.6154,-95.6154,-267.07703124999995,-267.07703124999995,-225.4000000000002,-725.3848624999999,0.0,-0.010000000000000009,1.0,2.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
1781.0,-95.34686514616993,-95.34686514616993,-280.07962010718876,-280.07962010718876,-225.4000000000002,-750.8529705067174,0.0,-0.010000000000000009,1.0,1.1272835429637278,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
1781.0,-95.55446277201982,-95.55446277201982,-270.02764160922146,-270.02764160922146,-225.4000000000002,-731.1642087624826,0.0,-0.010000000000000009,0.1980410399095729,1.801958960090427,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
1781.0,-95.34919401391305,-95.34919401391305,-279.9668551929348,-279.9668551929348,-225.4000000000002,-750.6320984136956,0.0,-0.010000000000000009,-0.8651478260869562,1.134852173913044,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,-1.0,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1781.0,-95.57621183903319,-95.57621183903319,-268.9745411555229,-268.9745411555229,-225.4000000000002,-729.1015059891122,0.0,-0.010000000000000009,-1.0,1.8726416608163676,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
1781.0,-95.35150746583533,-95.35150746583533,-279.85483672025856,-279.85483672025856,-225.4000000000002,-750.4126883721877,0.0,-0.010000000000000009,-0.14237070469720625,1.1423707046972063,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.0,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.0,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.8614825789800692,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.14077729444484033,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
1781.0,-95.57908989314397,-95.57908989314397,-268.835184368955,-268.835184368955,-225.4000000000002,-728.828548524198,0.0,-0.010000000000000009,-1.7639902056807077,1.8819951028403539,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
1781.0,-95.6154,-95.6154,-267.07703124999995,-267.07703124999995,-225.4000000000002,-725.3848624999999,0.0,-0.010000000000000009,-1.193908889564425,2.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
1781.0,-95.34731453770024,-95.34731453770024,-280.05786034967076,-280.05786034967076,-225.4000000000002,-750.810349774742,0.0,-0.010000000000000009,-1.8712559710749257,1.1287440289250743,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.5260546582157737,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1781.0,-95.3077,-95.3077,-281.976015625,-281.976015625,-225.4000000000002,-754.5674312499999,0.0,-0.010000000000000009,0.12198644918444246,1.0,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
1781.0,-95.57312510644832,-95.57312510644832,-269.12400225578943,-269.12400225578943,-225.4000000000002,-729.3942547244754,0.0,-0.010000000000000009,0.8626100307062438,1.8626100307062439,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
1781.0,-95.34463692320465,-95.34463692320465,-280.1875117521152,-280.1875117521152,-225.4000000000002,-751.0642973506398,0.0,-0.010000000000000009,-0.7599160012697503,1.120041999365125,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
1781.0,-95.57307152288449,-95.57307152288449,-269.12659679813606,-269.12659679813606,-225.4000000000002,-729.399336642041,0.0,-0.010000000000000009,-0.13756411152260584,1.8624358884773942,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
1781.0,-95.35094531600286,-95.35094531600286,-279.882056289873,-279.882056289873,-225.4000000000002,-750.4660032117516,0.0,-0.010000000000000009,-1.7189124731695684,1.1405437634152158,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1781.0,-95.55307887245056,-95.55307887245056,-270.094650702686,-270.094650702686,-225.4000000000002,-731.2954591502731,0.0,-0.010000000000000009,-2.0,1.7974613989293466,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
1781.0,-95.34749271806038,-95.34749271806038,-280.0492327695548,-280.0492327695548,-225.4000000000002,-750.7934509752304,0.0,-0.010000000000000009,0.6120306981437773,1.1293231006187407,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
1781.0,-95.55557916175576,-95.55557916175576,-269.9735854726206,-269.9735854726206,-225.4000000000002,-731.0583292687527,0.0,-0.010000000000000009,-0.6111742720556328,1.8055871360278164,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
1781.0,-95.34754124018573,-95.34754124018573,-280.04688330453246,-280.04688330453246,-225.4000000000002,-750.7888490894363,0.0,-0.010000000000000009,-0.12948079358379283,1.129480793583793,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
1781.0,-95.56695314041313,-95.56695314041313,-269.4228518674925,-269.4228518674925,-225.4000000000002,-729.9796100158113,0.0,-0.010000000000000009,0.8425516425516415,1.8425516425516415,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
1781.0,-95.34543123360974,-95.34543123360974,-280.14905085411607,-280.14905085411607,-225.4000000000002,-750.9889641754515,0.0,-0.010000000000000009,0.12262344364556477,1.1226234436455647,1085.0,1529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
